ticket_id,created_at,user_report,risk_category,subcategory,severity,sla_target_hours,region,channel,language,model_confidence,escalation_team,human_review_required,final_action,ticket_summary,risk_rationale,recommended_next_step,sla_note,human_review_note
TKT-0001,2026-04-13 10:51:00,"I see a charge on my account that I did not authorise",Billing safety escalation,Unauthorised charge,Medium,24,Europe,Web form,Korean,0.75,Billing Operations,False,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0002,2026-05-30 17:18:00,"I received a suspicious message asking me to click a link to verify my account",Scam or fraud,Impersonation,High,4,Latin America,In-app report,German,0.91,Fraud & Abuse Team,True,Escalate to specialist,"User reports suspicious activity consistent with phishing or fraud. Sender account investigation required.","Report contains phishing or fraud indicators. Sender account is suspicious.","Escalate to Fraud and Abuse Team. Investigate sender account.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0003,2026-04-11 00:16:00,"My account was accessed from an unknown location",Account abuse,Account takeover,High,4,Asia Pacific,In-app report,Spanish,0.91,Trust & Safety Review,True,Escalate to specialist,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0004,2026-05-18 07:26:00,"My account was accessed from an unknown location",Account abuse,Account takeover,High,4,Asia Pacific,In-app report,Japanese,0.64,Trust & Safety Review,True,Escalate to specialist,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0005,2026-05-06 20:30:00,"I have been receiving hateful messages about my identity",Harassment,Targeted abuse,High,4,North America,Web form,Japanese,0.85,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0006,2026-01-15 22:25:00,"I keep receiving friend requests from accounts that all look fake",Platform integrity,Bot activity,Low,72,Europe,Email,Portuguese,0.94,Content Moderation,False,Close with education,"User reports suspected inauthentic behaviour, spam or coordinated abuse. Platform integrity review required.","Inauthentic or coordinated behaviour suspected.","Route to Content Moderation. Assess account network for coordinated abuse.","Low severity — action required within 72 hours.","Human review not required. Standard workflow applies."
TKT-0007,2026-05-03 22:16:00,"I was given a warning but I thought my post followed the guidelines",Policy confusion,Content removal appeal,Low,72,Middle East & Africa,In-app report,Arabic,0.79,Content Moderation,False,Close with education,"User is seeking clarification on a moderation decision. Standard appeal review workflow applies.","User appeal following content moderation action. No safety risk identified.","Route to Content Moderation for standard appeal review.","Low severity — action required within 72 hours.","Human review not required. Standard workflow applies."
TKT-0008,2026-03-15 13:20:00,"My contact details appear in a public group and I want them removed",Privacy concern,Unauthorised sharing,High,4,Europe,Email,Korean,0.85,Legal & Compliance,True,Escalate to specialist,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0009,2026-06-01 10:32:00,"I am being targeted by a group of users leaving abusive comments",Harassment,Threatening messages,High,4,Europe,API,Arabic,0.59,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0010,2026-05-20 03:58:00,"Someone is pretending to be a company representative asking for my details",Scam or fraud,Impersonation,High,4,Europe,Email,Spanish,0.83,Fraud & Abuse Team,True,Escalate to specialist,"User reports suspicious activity consistent with phishing or fraud. Sender account investigation required.","Report contains phishing or fraud indicators. Sender account is suspicious.","Escalate to Fraud and Abuse Team. Investigate sender account.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0011,2026-02-05 15:53:00,"I am seeing content that is very distressing and affecting my wellbeing",Self-harm concern,Wellness concern,High,4,North America,API,French,0.55,Trust & Safety Review,True,Escalate to specialist,"User report contains language or observations consistent with welfare concern. Human review mandatory.","Language patterns include distress signals. Welfare concern is plausible.","Escalate immediately. Apply safe messaging guidelines.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0012,2026-04-18 21:54:00,"I am being targeted by a group of users leaving abusive comments",Harassment,Hate speech,High,4,North America,In-app report,Japanese,0.85,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0013,2026-02-16 08:01:00,"I am being targeted by a group of users leaving abusive comments",Harassment,Coordinated harassment,High,4,Middle East & Africa,In-app report,Spanish,0.79,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0014,2026-03-09 10:25:00,"There is a suspicious transaction linked to my payment method",Billing safety escalation,Suspicious refund request,Medium,24,Middle East & Africa,Email,German,0.81,Billing Operations,False,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0015,2026-04-11 05:19:00,"A user has been sending me threatening messages repeatedly",Harassment,Targeted abuse,High,4,Europe,In-app report,Japanese,0.69,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0016,2026-02-23 01:34:00,"A user has been sending me threatening messages repeatedly",Harassment,Targeted abuse,High,4,Latin America,API,Korean,0.74,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0017,2026-05-28 12:50:00,"A profile seems to be targeting children with suspicious messages",Child safety concern,Inappropriate content involving minor,High,4,Middle East & Africa,In-app report,German,0.78,Child Safety Specialists,True,Escalate to specialist,"Report describes possible risk involving a minor. Immediate escalation to Child Safety Specialists required.","Possible grooming or inappropriate contact with a minor described.","Escalate immediately to Child Safety Specialists. Preserve all records.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0018,2026-03-25 20:50:00,"I was given a warning but I thought my post followed the guidelines",Policy confusion,Content removal appeal,Low,72,Asia Pacific,Web form,Korean,0.98,Content Moderation,False,Close with education,"User is seeking clarification on a moderation decision. Standard appeal review workflow applies.","User appeal following content moderation action. No safety risk identified.","Route to Content Moderation for standard appeal review.","Low severity — action required within 72 hours.","Human review not required. Standard workflow applies."
TKT-0019,2026-04-18 20:51:00,"A user is sharing private photos of me that I did not give permission to share",Privacy concern,Unauthorised sharing,High,4,Middle East & Africa,Web form,French,0.95,Legal & Compliance,True,Escalate to specialist,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0020,2026-02-25 20:09:00,"I am seeing content that is very distressing and affecting my wellbeing",Self-harm concern,Crisis language,High,4,Latin America,API,Arabic,0.75,Trust & Safety Review,True,Escalate to specialist,"User report contains language or observations consistent with welfare concern. Human review mandatory.","Language patterns include distress signals. Welfare concern is plausible.","Escalate immediately. Apply safe messaging guidelines.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0021,2026-01-25 06:08:00,"Someone logged into my account without my permission",Account abuse,Suspicious login,High,4,Asia Pacific,Web form,Korean,0.89,Trust & Safety Review,True,Escalate to specialist,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0022,2026-04-24 12:26:00,"I saw a video making misleading claims about an election",Misinformation,Election misinformation,Medium,24,Europe,Email,Spanish,0.77,Content Moderation,False,Monitor and log,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0023,2026-04-01 13:38:00,"Someone is sharing manipulated images and presenting them as real",Misinformation,Health misinformation,Low,72,Middle East & Africa,In-app report,Korean,0.74,Content Moderation,False,Close with education,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Low severity — action required within 72 hours.","Human review not required. Standard workflow applies."
TKT-0024,2026-01-17 19:03:00,"I am seeing content that is very distressing and affecting my wellbeing",Self-harm concern,Crisis language,High,4,Asia Pacific,In-app report,Arabic,0.87,Trust & Safety Review,True,Escalate to specialist,"User report contains language or observations consistent with welfare concern. Human review mandatory.","Language patterns include distress signals. Welfare concern is plausible.","Escalate immediately. Apply safe messaging guidelines.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0025,2026-05-16 13:48:00,"A user is sharing private photos of me that I did not give permission to share",Privacy concern,Personal data exposure,Low,72,North America,Email,Japanese,0.84,Legal & Compliance,False,Close with education,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","Low severity — action required within 72 hours.","Human review not required. Standard workflow applies."
TKT-0026,2026-06-16 00:23:00,"A user posted something that suggests they are in crisis",Self-harm concern,User concern for another,High,4,Asia Pacific,In-app report,Arabic,0.96,Trust & Safety Review,True,Escalate to specialist,"User report contains language or observations consistent with welfare concern. Human review mandatory.","Language patterns include distress signals. Welfare concern is plausible.","Escalate immediately. Apply safe messaging guidelines.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0027,2026-03-30 20:56:00,"There is a suspicious transaction linked to my payment method",Billing safety escalation,Payment fraud link,Medium,24,Europe,Email,Korean,0.79,Billing Operations,False,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0028,2026-04-05 13:58:00,"I noticed a network of fake accounts all interacting with each other",Platform integrity,Spam campaign,Medium,24,Latin America,Web form,Korean,0.72,Content Moderation,False,Monitor and log,"User reports suspected inauthentic behaviour, spam or coordinated abuse. Platform integrity review required.","Inauthentic or coordinated behaviour suspected.","Route to Content Moderation. Assess account network for coordinated abuse.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0029,2026-02-23 21:24:00,"A user posted something that suggests they are in crisis",Self-harm concern,Distressing content,High,4,Latin America,API,Japanese,0.61,Trust & Safety Review,True,Escalate to specialist,"User report contains language or observations consistent with welfare concern. Human review mandatory.","Language patterns include distress signals. Welfare concern is plausible.","Escalate immediately. Apply safe messaging guidelines.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0030,2026-06-13 11:16:00,"There is a suspicious transaction linked to my payment method",Billing safety escalation,Billing dispute,Medium,24,Latin America,In-app report,Korean,0.94,Billing Operations,False,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0031,2026-03-22 01:29:00,"I am a parent and I noticed an adult was messaging my young child asking for photos",Child safety concern,Minor account concern,Critical,1,Asia Pacific,Web form,Japanese,0.77,Child Safety Specialists,True,Immediate action required,"Report describes possible risk involving a minor. Immediate escalation to Child Safety Specialists required.","Possible grooming or inappropriate contact with a minor described.","Escalate immediately to Child Safety Specialists. Preserve all records.","Critical severity — action required within 1 hour.","Human review mandatory. Do not auto-resolve."
TKT-0032,2026-01-29 02:07:00,"I am seeing content that is very distressing and affecting my wellbeing",Self-harm concern,Wellness concern,High,4,Latin America,In-app report,English,0.67,Trust & Safety Review,True,Escalate to specialist,"User report contains language or observations consistent with welfare concern. Human review mandatory.","Language patterns include distress signals. Welfare concern is plausible.","Escalate immediately. Apply safe messaging guidelines.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0033,2026-02-15 20:37:00,"A bot is flooding a comment section with spam",Platform integrity,Spam campaign,Medium,24,North America,Web form,Spanish,0.76,Content Moderation,False,Monitor and log,"User reports suspected inauthentic behaviour, spam or coordinated abuse. Platform integrity review required.","Inauthentic or coordinated behaviour suspected.","Route to Content Moderation. Assess account network for coordinated abuse.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0034,2026-02-14 17:31:00,"A post is spreading false information about health treatments",Misinformation,Coordinated false claims,Critical,1,Latin America,API,English,0.58,Content Moderation,True,Immediate action required,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Critical severity — action required within 1 hour.","Human review mandatory. Do not auto-resolve."
TKT-0035,2026-02-27 05:13:00,"I noticed a network of fake accounts all interacting with each other",Platform integrity,Coordinated inauthentic behaviour,Medium,24,Europe,Web form,English,0.87,Content Moderation,False,Monitor and log,"User reports suspected inauthentic behaviour, spam or coordinated abuse. Platform integrity review required.","Inauthentic or coordinated behaviour suspected.","Route to Content Moderation. Assess account network for coordinated abuse.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0036,2026-03-05 04:47:00,"My contact details appear in a public group and I want them removed",Privacy concern,Personal data exposure,Critical,1,Asia Pacific,API,Korean,0.76,Legal & Compliance,True,Immediate action required,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","Critical severity — action required within 1 hour.","Human review mandatory. Do not auto-resolve."
TKT-0037,2026-01-30 03:33:00,"There is a suspicious transaction linked to my payment method",Billing safety escalation,Unauthorised charge,Medium,24,Europe,In-app report,Japanese,0.81,Billing Operations,False,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0038,2026-02-04 22:31:00,"I am not sure which rule my content violated",Policy confusion,Content removal appeal,Low,72,Asia Pacific,Email,English,0.69,Content Moderation,True,Close with education,"User is seeking clarification on a moderation decision. Standard appeal review workflow applies.","User appeal following content moderation action. No safety risk identified.","Route to Content Moderation for standard appeal review.","Low severity — action required within 72 hours.","Human review mandatory. Do not auto-resolve."
TKT-0039,2026-05-10 06:51:00,"A post is spreading false information about health treatments",Misinformation,Health misinformation,Medium,24,Asia Pacific,In-app report,Korean,0.59,Content Moderation,True,Monitor and log,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0040,2026-06-19 05:28:00,"Someone posted my home address and phone number publicly",Privacy concern,Doxxing,High,4,Latin America,In-app report,Arabic,0.91,Legal & Compliance,True,Escalate to specialist,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0041,2026-02-04 12:45:00,"I saw a video making misleading claims about an election",Misinformation,Election misinformation,Medium,24,Asia Pacific,In-app report,Korean,0.71,Content Moderation,False,Monitor and log,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0042,2026-02-12 12:02:00,"There is a suspicious transaction linked to my payment method",Billing safety escalation,Unauthorised charge,Medium,24,Latin America,Web form,Korean,0.57,Billing Operations,True,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0043,2026-04-04 11:30:00,"A post is spreading false information about health treatments",Misinformation,Election misinformation,Medium,24,North America,Web form,English,0.85,Content Moderation,False,Monitor and log,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0044,2026-03-04 17:55:00,"I am being targeted by a group of users leaving abusive comments",Harassment,Hate speech,High,4,Asia Pacific,In-app report,Portuguese,0.76,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0045,2026-03-21 18:07:00,"My post was removed and I do not understand why",Policy confusion,Policy clarification,Low,72,Middle East & Africa,Email,English,0.94,Content Moderation,False,Close with education,"User is seeking clarification on a moderation decision. Standard appeal review workflow applies.","User appeal following content moderation action. No safety risk identified.","Route to Content Moderation for standard appeal review.","Low severity — action required within 72 hours.","Human review not required. Standard workflow applies."
TKT-0046,2026-03-29 11:40:00,"My contact details appear in a public group and I want them removed",Privacy concern,Doxxing,High,4,Latin America,API,Arabic,0.97,Legal & Compliance,True,Escalate to specialist,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0047,2026-06-12 19:09:00,"There are messages sent from my account that I did not write",Account abuse,Compromised account,Medium,24,Middle East & Africa,Web form,Korean,0.69,Trust & Safety Review,True,Monitor and log,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0048,2026-03-19 22:39:00,"Someone keeps contacting me after I asked them to stop",Harassment,Threatening messages,High,4,Latin America,In-app report,Spanish,0.65,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0049,2026-03-05 15:58:00,"Someone is sharing manipulated images and presenting them as real",Misinformation,Misleading media,Medium,24,North America,Web form,Arabic,0.66,Content Moderation,True,Monitor and log,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0050,2026-06-02 11:22:00,"I saw content in a group that seemed to target young users in an inappropriate way",Child safety concern,Minor account concern,Critical,1,Asia Pacific,Web form,Arabic,0.62,Child Safety Specialists,True,Immediate action required,"Report describes possible risk involving a minor. Immediate escalation to Child Safety Specialists required.","Possible grooming or inappropriate contact with a minor described.","Escalate immediately to Child Safety Specialists. Preserve all records.","Critical severity — action required within 1 hour.","Human review mandatory. Do not auto-resolve."
TKT-0051,2026-01-13 15:47:00,"A post is spreading false information about health treatments",Misinformation,Coordinated false claims,Medium,24,Europe,Web form,Spanish,0.97,Content Moderation,False,Monitor and log,"User reports misleading or false content. Content review and fact-check assessment required.","False or misleading claim identified. Potential for harm if widely shared.","Route to Content Moderation. Review content for policy violation.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0052,2026-04-26 16:34:00,"My contact details appear in a public group and I want them removed",Privacy concern,Doxxing,High,4,Latin America,In-app report,English,0.59,Legal & Compliance,True,Escalate to specialist,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0053,2026-01-01 00:31:00,"Someone logged into my account without my permission",Account abuse,Credential sharing,High,4,North America,Email,Korean,0.7,Trust & Safety Review,True,Escalate to specialist,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0054,2026-05-07 15:02:00,"There is a suspicious transaction linked to my payment method",Billing safety escalation,Payment fraud link,Medium,24,Asia Pacific,Email,Portuguese,0.73,Billing Operations,False,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0055,2026-02-03 03:42:00,"I am not sure which rule my content violated",Policy confusion,Account restriction query,Low,72,Middle East & Africa,Email,Portuguese,0.7,Content Moderation,False,Close with education,"User is seeking clarification on a moderation decision. Standard appeal review workflow applies.","User appeal following content moderation action. No safety risk identified.","Route to Content Moderation for standard appeal review.","Low severity — action required within 72 hours.","Human review not required. Standard workflow applies."
TKT-0056,2026-06-16 21:41:00,"Someone in a group I follow has posted something concerning",Self-harm concern,Wellness concern,High,4,Middle East & Africa,In-app report,Spanish,0.69,Trust & Safety Review,True,Escalate to specialist,"User report contains language or observations consistent with welfare concern. Human review mandatory.","Language patterns include distress signals. Welfare concern is plausible.","Escalate immediately. Apply safe messaging guidelines.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0057,2026-03-27 23:01:00,"I received a refund request from someone I do not recognise",Billing safety escalation,Payment fraud link,Medium,24,Europe,API,Spanish,0.96,Billing Operations,False,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0058,2026-03-29 09:13:00,"A user has been sending me threatening messages repeatedly",Harassment,Coordinated harassment,High,4,Europe,Web form,French,0.74,Trust & Safety Review,True,Escalate to specialist,"User reports repeated unwanted contact or threatening behaviour. Escalation to Trust and Safety reviewer required.","Repeated unwanted contact or threatening language described.","Escalate to Trust and Safety Review. Review communication history.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0059,2026-04-07 21:39:00,"A user is sharing private photos of me that I did not give permission to share",Privacy concern,Data request,High,4,Middle East & Africa,Email,Japanese,0.75,Legal & Compliance,True,Escalate to specialist,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0060,2026-04-23 15:24:00,"I think I was tricked into sending money to a fake account",Scam or fraud,Phishing attempt,High,4,Europe,Email,English,0.6,Fraud & Abuse Team,True,Escalate to specialist,"User reports suspicious activity consistent with phishing or fraud. Sender account investigation required.","Report contains phishing or fraud indicators. Sender account is suspicious.","Escalate to Fraud and Abuse Team. Investigate sender account.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0061,2026-02-17 01:27:00,"I received a refund request from someone I do not recognise",Billing safety escalation,Unauthorised charge,Medium,24,Europe,Email,Portuguese,0.7,Billing Operations,False,Monitor and log,"User reports suspicious billing activity. Billing team investigation required.","Suspicious financial activity linked to user account.","Route to Billing Operations. Investigate transaction history.","Medium severity — action required within 24 hours.","Human review not required. Standard workflow applies."
TKT-0062,2026-04-15 11:48:00,"Someone logged into my account without my permission",Account abuse,Account takeover,High,4,Middle East & Africa,API,Arabic,0.75,Trust & Safety Review,True,Escalate to specialist,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0063,2026-04-23 14:45:00,"I keep receiving friend requests from accounts that all look fake",Platform integrity,Fake account,Medium,24,North America,API,Portuguese,0.62,Content Moderation,True,Monitor and log,"User reports suspected inauthentic behaviour, spam or coordinated abuse. Platform integrity review required.","Inauthentic or coordinated behaviour suspected.","Route to Content Moderation. Assess account network for coordinated abuse.","Medium severity — action required within 24 hours.","Human review mandatory. Do not auto-resolve."
TKT-0064,2026-05-26 02:32:00,"My contact details appear in a public group and I want them removed",Privacy concern,Doxxing,High,4,Asia Pacific,Web form,Portuguese,0.94,Legal & Compliance,True,Escalate to specialist,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0065,2026-01-15 05:55:00,"I am seeing content that is very distressing and affecting my wellbeing",Self-harm concern,Distressing content,High,4,Asia Pacific,Email,French,0.69,Trust & Safety Review,True,Escalate to specialist,"User report contains language or observations consistent with welfare concern. Human review mandatory.","Language patterns include distress signals. Welfare concern is plausible.","Escalate immediately. Apply safe messaging guidelines.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0066,2026-05-29 21:14:00,"My personal information was shared in a public post without my consent",Privacy concern,Unauthorised sharing,High,4,Latin America,Web form,German,0.98,Legal & Compliance,True,Escalate to specialist,"User reports potential data exposure or privacy violation. Legal and compliance review recommended.","Personal data exposure or privacy violation described.","Escalate to Legal and Compliance. Assess data exposure risk.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0067,2026-03-14 01:09:00,"There are messages sent from my account that I did not write",Account abuse,Account takeover,High,4,Latin America,Web form,German,0.71,Trust & Safety Review,True,Escalate to specialist,"User reports possible account compromise or unauthorised access. Immediate account security review recommended.","Unauthorised access indicators present in report. Account security compromise likely.","Escalate to Trust and Safety Review. Initiate account security check.","High severity — action required within 4 hours.","Human review mandatory. Do not auto-resolve."
TKT-0068,2026-05-04 10:20:00,"My post was removed and I do not understand why",Policy confusion,Account restriction query,Low,72,Europe,In-app report,Korean,0.71,Content Moderation,False,Close with education,"User is seeking clarification on a moderation decision. Standard appeal review workflow applies.","User appeal following content moderation action. No safety risk identified.","Route to Content Moderation for standard appeal review.","Low severity — action required within 72 hours.","Human review not required. Standard workflow applies."
