ticket_id,created_at,user_report,risk_category,subcategory,severity,sla_target_hours,region,channel,language,model_confidence,escalation_team,human_review_required,final_action
TKT-0001,2026-01-21 20:38:00,My payment method was used without my permission.,Billing safety escalation,coerced_payment,High,4,Middle East,Appeal form,German,0.85,Fraud and Account Integrity,True,Fraud investigation
TKT-0002,2026-03-03 00:28:00,Private information about a child was shared publicly.,Child safety concern,suspected_grooming_signal,Critical,1,UK,Email support,Russian,0.69,Child Safety Escalation,True,Child safety escalation
TKT-0003,2026-01-24 02:48:00,My personal details are visible where they should not be.,Privacy concern,personal_data_exposure,Medium,24,UK,Mobile app,Russian,0.57,Privacy Review,True,Privacy escalation
TKT-0004,2026-01-07 21:21:00,A user appears to be trying to build an unsafe relationship with a minor.,Child safety concern,age_appropriate_content_concern,Critical,1,Europe,Live chat,Spanish,0.63,Child Safety Escalation,True,Child safety escalation
TKT-0005,2026-02-04 15:01:00,I do not understand why my post was removed.,Policy confusion,unclear_policy_application,Medium,24,Africa,In-product report,Arabic,0.63,Support / Education,True,No action
TKT-0006,2026-01-17 10:39:00,Someone changed my password and I cannot access my account.,Account abuse,account_recovery_abuse,Medium,24,North America,Email support,Arabic,0.92,Fraud and Account Integrity,False,Human review required
TKT-0007,2026-03-26 12:18:00,My account settings were changed without my permission.,Account abuse,account_settings_changed,High,4,Latin America,Web form,Other,0.71,Fraud and Account Integrity,True,Human review required
TKT-0008,2026-03-13 15:45:00,A group of fake accounts are manipulating reviews.,Platform integrity,bot_like_activity,High,4,North America,Email support,Russian,0.73,Fraud and Account Integrity,True,Human review required
TKT-0009,2026-02-05 10:25:00,A group of fake accounts are manipulating reviews.,Platform integrity,review_manipulation,Medium,24,North America,In-product report,Other,0.76,Fraud and Account Integrity,False,Content review
TKT-0010,2026-01-23 01:01:00,A post is making false claims that could lead people to unsafe behaviour.,Misinformation,harmful_instructional_content,Medium,24,Europe,Email support,Spanish,0.93,Policy Review,False,Content review
TKT-0011,2026-02-10 03:01:00,A user posted something that sounds like they are in crisis.,Self-harm concern,crisis_language,Critical,1,Europe,Appeal form,French,0.92,Trust & Safety Review,True,Safety escalation
TKT-0012,2026-01-26 22:29:00,Why was my account feature restricted?,Policy confusion,appeal_request,Medium,24,Europe,Web form,Arabic,0.9,Support / Education,False,No action
TKT-0013,2026-01-28 07:50:00,I received threatening messages from another account.,Harassment,repeated_unwanted_contact,Medium,24,Global / Unknown,Web form,Spanish,0.56,Trust & Safety Review,True,Safety escalation
TKT-0014,2026-03-24 17:33:00,Someone is repeatedly insulting me in comments.,Harassment,threats,Medium,24,Global / Unknown,Mobile app,German,0.71,Trust & Safety Review,True,Safety escalation
